region,regname,yearcode,age2,tenure4,N_ten4s,N_all2,tenurename
0,UK,1994,78,3,16358.299425995,310435,Private rent
0,UK,1994,78,4,17677.5198798702,310435,Care of/rent free
0,UK,1994,79,1,176136.041965288,317403,Owner occupier
0,UK,1994,79,2,101552.018369649,317403,Social rent
0,UK,1994,79,3,18363.137487278,317403,Private rent
0,UK,1994,79,4,21351.8021777848,317403,Care of/rent free
0,UK,1994,80,1,987915.408899795,1900514,Owner occupier
0,UK,1994,80,2,626493.268670775,1900514,Social rent
0,UK,1994,80,3,117356.750128057,1900514,Private rent
0,UK,1994,80,4,168748.572301373,1900514,Care of/rent free
0,UK,1995,16,1,763.317159725704,145008,Owner occupier
0,UK,1995,16,2,3753.11008293646,145008,Social rent
0,UK,1995,16,3,4088.52796776383,145008,Private rent
0,UK,1995,16,4,136403.044789574,145008,Care of/rent free
0,UK,1995,17,1,1437.01020475334,286726,Owner occupier
0,UK,1995,17,2,10994.1088865372,286726,Social rent
0,UK,1995,17,3,10986.6128263483,286726,Private rent
0,UK,1995,17,4,263308.268082361,286726,Care of/rent free
0,UK,1995,18,1,3674.15384593654,329743,Owner occupier
0,UK,1995,18,2,16852.4001059011,329743,Social rent
0,UK,1995,18,3,28109.3863115668,329743,Private rent
0,UK,1995,18,4,281107.059736596,329743,Care of/rent free
0,UK,1995,19,1,13965.5574608905,604913,Owner occupier
0,UK,1995,19,2,44229.8819075748,604913,Social rent
0,UK,1995,19,3,97352.2003484112,604913,Private rent
0,UK,1995,19,4,449365.360283124,604913,Care of/rent free
0,UK,1995,20,1,34770.407028836,651975,Owner occupier
0,UK,1995,20,2,52032.6569247924,651975,Social rent
0,UK,1995,20,3,154642.036980849,651975,Private rent
0,UK,1995,20,4,410529.899065523,651975,Care of/rent free
0,UK,1995,21,1,56160.0751556741,666501,Owner occupier
0,UK,1995,21,2,72896.057460055,666501,Social rent
0,UK,1995,21,3,169346.283955728,666501,Private rent
0,UK,1995,21,4,368098.583428543,666501,Care of/rent free
0,UK,1995,22,1,109188.67833098,744905,Owner occupier
0,UK,1995,22,2,99014.5682964541,744905,Social rent
0,UK,1995,22,3,165858.699767649,744905,Private rent
0,UK,1995,22,4,370843.053604916,744905,Care of/rent free
0,UK,1995,23,1,181521.311922267,816556,Owner occupier
0,UK,1995,23,2,121264.745964362,816556,Social rent
0,UK,1995,23,3,175599.587555495,816556,Private rent
0,UK,1995,23,4,338170.354557876,816556,Care of/rent free
0,UK,1995,24,1,259839.894225049,822088,Owner occupier
0,UK,1995,24,2,121877.157195304,822088,Social rent
0,UK,1995,24,3,168228.904907524,822088,Private rent
0,UK,1995,24,4,272142.043672124,822088,Care of/rent free
0,UK,1995,25,1,347874.569456695,866391,Owner occupier
0,UK,1995,25,2,133643.170229569,866391,Social rent
0,UK,1995,25,3,146155.910954786,866391,Private rent
0,UK,1995,25,4,238717.349358951,866391,Care of/rent free
0,UK,1995,26,1,392674.440553463,862649,Owner occupier
0,UK,1995,26,2,140001.149138128,862649,Social rent
0,UK,1995,26,3,129726.400577259,862649,Private rent
0,UK,1995,26,4,200247.00973115,862649,Care of/rent free
0,UK,1995,27,1,449084.484394119,871791,Owner occupier
0,UK,1995,27,2,147899.156700035,871791,Social rent
0,UK,1995,27,3,121140.793530489,871791,Private rent
0,UK,1995,27,4,153666.565375357,871791,Care of/rent free
0,UK,1995,28,1,473047.875565052,865630,Owner occupier
0,UK,1995,28,2,160037.414328856,865630,Social rent
0,UK,1995,28,3,108499.711594723,865630,Private rent
0,UK,1995,28,4,124044.998511369,865630,Care of/rent free
0,UK,1995,29,1,522034.240843803,864661,Owner occupier
0,UK,1995,29,2,145271.873361657,864661,Social rent
0,UK,1995,29,3,104591.483896573,864661,Private rent
0,UK,1995,29,4,92763.4018979675,864661,Care of/rent free
0,UK,1995,30,1,591746.251968171,922445,Owner occupier
0,UK,1995,30,2,150475.501759538,922445,Social rent
0,UK,1995,30,3,85183.58191059,922445,Private rent
0,UK,1995,30,4,95039.6643617006,922445,Care of/rent free
0,UK,1995,31,1,567147.981886795,856235,Owner occupier
0,UK,1995,31,2,135666.100878953,856235,Social rent
0,UK,1995,31,3,77887.689755664,856235,Private rent
0,UK,1995,31,4,75533.2274785884,856235,Care of/rent free
0,UK,1995,32,1,581006.687167772,888373,Owner occupier
0,UK,1995,32,2,157702.615008817,888373,Social rent
0,UK,1995,32,3,75146.3567632549,888373,Private rent
0,UK,1995,32,4,74517.3410601556,888373,Care of/rent free
0,UK,1995,33,1,602546.293799942,894564,Owner occupier
0,UK,1995,33,2,161666.068319888,894564,Social rent
0,UK,1995,33,3,67237.6509216504,894564,Private rent
0,UK,1995,33,4,63113.9869585195,894564,Care of/rent free
0,UK,1995,34,1,610904.497718554,881284,Owner occupier
0,UK,1995,34,2,157089.223895102,881284,Social rent
0,UK,1995,34,3,57808.7170765635,881284,Private rent
0,UK,1995,34,4,55481.5613097813,881284,Care of/rent free
0,UK,1995,35,1,591876.800252013,826747,Owner occupier
0,UK,1995,35,2,135821.72599617,826747,Social rent
0,UK,1995,35,3,49180.4004726024,826747,Private rent
0,UK,1995,35,4,49868.0732792144,826747,Care of/rent free
0,UK,1995,36,1,568032.820938428,781632,Owner occupier
0,UK,1995,36,2,126291.735637878,781632,Social rent
0,UK,1995,36,3,46177.5557219864,781632,Private rent
0,UK,1995,36,4,41129.887701708,781632,Care of/rent free
0,UK,1995,37,1,582275.084915741,806173,Owner occupier
0,UK,1995,37,2,127126.805374001,806173,Social rent
0,UK,1995,37,3,45152.1057245988,806173,Private rent
0,UK,1995,37,4,51619.0039856599,806173,Care of/rent free
0,UK,1995,38,1,557975.203334703,765879,Owner occupier
0,UK,1995,38,2,120585.905993872,765879,Social rent
0,UK,1995,38,3,41990.632992058,765879,Private rent
0,UK,1995,38,4,45327.2576793674,765879,Care of/rent free
0,UK,1995,39,1,550837.771955941,748021,Owner occupier
0,UK,1995,39,2,116110.572484375,748021,Social rent
0,UK,1995,39,3,43101.5171133812,748021,Private rent
0,UK,1995,39,4,37971.1384463026,748021,Care of/rent free
0,UK,1995,40,1,516039.00130054,695780,Owner occupier
0,UK,1995,40,2,104548.632854994,695780,Social rent
0,UK,1995,40,3,37763.9114241464,695780,Private rent
0,UK,1995,40,4,37428.4544203188,695780,Care of/rent free
0,UK,1995,41,1,514968.894381575,693256,Owner occupier
0,UK,1995,41,2,104705.776273106,693256,Social rent
0,UK,1995,41,3,40849.4730440212,693256,Private rent
0,UK,1995,41,4,32731.8563012973,693256,Care of/rent free
0,UK,1995,42,1,569446.501949142,759599,Owner occupier
0,UK,1995,42,2,114262.041085642,759599,Social rent
0,UK,1995,42,3,39388.2348093818,759599,Private rent
0,UK,1995,42,4,36502.2221558341,759599,Care of/rent free
0,UK,1995,43,1,558153.642165204,734694,Owner occupier
0,UK,1995,43,2,109389.659661292,734694,Social rent
0,UK,1995,43,3,33021.5065514421,734694,Private rent
0,UK,1995,43,4,34129.1916220618,734694,Care of/rent free
0,UK,1995,44,1,575819.198154348,745983,Owner occupier
0,UK,1995,44,2,107115.4637429,745983,Social rent
0,UK,1995,44,3,30206.2552935408,745983,Private rent
0,UK,1995,44,4,32842.082809211,745983,Care of/rent free
0,UK,1995,45,1,572197.762767677,732576,Owner occupier
0,UK,1995,45,2,98015.6346486683,732576,Social rent
0,UK,1995,45,3,28848.5329454774,732576,Private rent
0,UK,1995,45,4,33514.0696381777,732576,Care of/rent free
0,UK,1995,46,1,597990.252957581,759369,Owner occupier
0,UK,1995,46,2,98957.1020895787,759369,Social rent
0,UK,1995,46,3,29303.2735117764,759369,Private rent
0,UK,1995,46,4,33118.3714410642,759369,Care of/rent free
0,UK,1995,47,1,671357.330076834,842004,Owner occupier
0,UK,1995,47,2,104111.757606041,842004,Social rent
0,UK,1995,47,3,35938.9517200666,842004,Private rent
0,UK,1995,47,4,30595.9605970583,842004,Care of/rent free
0,UK,1995,48,1,714949.707335573,881323,Owner occupier
0,UK,1995,48,2,98569.8718543499,881323,Social rent
0,UK,1995,48,3,37162.494109153,881323,Private rent
0,UK,1995,48,4,30640.9267009241,881323,Care of/rent free
0,UK,1995,49,1,590959.685185115,736958,Owner occupier
0,UK,1995,49,2,94329.8590880199,736958,Social rent
0,UK,1995,49,3,28213.7979979423,736958,Private rent
0,UK,1995,49,4,23454.6577289231,736958,Care of/rent free
0,UK,1995,50,1,551906.826225803,689917,Owner occupier
0,UK,1995,50,2,88732.8488028399,689917,Social rent
0,UK,1995,50,3,27461.4662391805,689917,Private rent
